"","Plot","Region_name","Region_code","Sub_region_name","Sub_region_code","GIS_UTM_1_zone","UTM_1_Easting","UTM_1_Northing","UTM_1_Type"
"1","RAS-0003","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,481827.6847,7583429.437,"SW corner"
"2","RAS-0004","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,488344.8432,7566739.132,"SW corner"
"3","RAS-0005","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,490188.7038,7611484.329,"SW corner"
"4","RAS-0006","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,505073.0019,7579968.779,"SW corner"
"5","RAS-0007","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,496260.985,7587929.526,"SW corner"
"6","RAS-0008","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,495985.11,7594477.061,"SW corner"
"7","RAS-0013","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,484644.7445,7611362.778,"SW corner"
"8","RAS-0018","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,505671.9176,7580237.636,"SW corner"
"9","RAS-0019","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,494051.0291,7592753.781,"SW corner"
"10","RAS-0020","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,493678.4569,7592624.234,"SW corner"
"11","RAS-0021","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,496434.0627,7595593.592,"SW corner"
"12","RAS-0034","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,492085.5848,7584460.432,"SW corner"
"13","RAS-0036","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,488025.7311,7566611.273,"SW corner"
"14","RAS-0037","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,483387.5324,7610485.476,"SW corner"
"15","RAS-0038","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,481885.9511,7582945.113,"SW corner"
"16","RAS-0040","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,483039.7114,7610642.795,"SW corner"
"17","RAS-0048","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,483127.7553,7592141.94,"SW corner"
"18","RAS-0049","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,455690.9748,7574619.426,"SW corner"
"19","RAS-0050","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,NA,NA,NA
"20","RAS-0051","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,496392.3503,7587878.047,"SW corner"
"21","RAS-0057","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,497593.0916,7587558.855,"SW corner"
"22","RAS-0059","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,464666.5186,7596378.285,"SW corner"
"23","RAS-0060","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,465941.4864,7596160.024,"SW corner"
"24","RAS-0061","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,467214.3177,7595509.786,"SW corner"
"25","RAS-0062","North Hudson Barrens",7,"Rasmussen Lowlands (Region 7)",7.1,15,467467.5456,7595581.217,"SW corner"
"26","RAS-0001","South Archipelago",9,"Rasmussen Lowlands (Region 9)",9.2,15,489632.5057,7661600.709,"SW corner"
"27","RAS-0002","South Archipelago",9,"Rasmussen Lowlands (Region 9)",9.2,15,489972.4293,7663489.328,"SW corner"
