"","Plot","Region_name","Region_code","Sub_region_name","Sub_region_code","GIS_UTM_1_zone","UTM_1_Easting","UTM_1_Northing","UTM_1_Type"
"1","AFI-0001","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,511830,7550903,"SW corner"
"2","AFI-0002","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,512311,7550551,"SW corner"
"3","AFI-0009","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,526981,7517685,"SW corner"
"4","AFI-0010","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,528358,7517699,"SW corner"
"5","AFI-0019","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,527531,7530339,"SW corner"
"6","AFI-0020","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,528433,7529682,"SW corner"
"7","AFI-0023","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,531076,7555244,"SW corner"
"8","AFI-0024","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,531036,7554406,"SW corner"
"9","AFI-0025","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,531356,7540829,"SW corner"
"10","AFI-0026","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,532279,7541866,"SW corner"
"11","AFI-0029","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,538482,7527922,"SW corner"
"12","AFI-0030","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,538520,7527172,"SW corner"
"13","AFI-0045","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,560813,7533627,"SW corner"
"14","AFI-0046","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,561167,7533052,"SW corner"
"15","AFI-0103A","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,NA,NA,NA
"16","AFI-0103D","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,NA,NA,NA
"17","AFI-0105A","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,NA,NA,NA
"18","AFI-0105D","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,NA,NA,NA
"19","AFI-0115A","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,NA,NA,NA
"20","AFI-0115D","Eastern Foxe Basin",3,"Prince Charles Island and Air Force Island (PCI/AFI)",3.1,18,NA,NA,NA
"21","ALE-1002","North Archipelago",10,"Alert",10.1,20,511989.3859,9153754.577,"SW corner"
"22","ALE-1010","North Archipelago",10,"Alert",10.1,20,513770.6688,9153881.443,"SW corner"
"23","ALE-1030","North Archipelago",10,"Alert",10.1,20,511256.1243,9153883.375,"SW corner"
"24","ALE-1040","North Archipelago",10,"Alert",10.1,20,510586.6269,9152707.222,"SW corner"
"25","ALE-1050","North Archipelago",10,"Alert",10.1,20,511142.95,9154891.4,"SW corner"
"26","ALE-1060","North Archipelago",10,"Alert",10.1,20,510989.2587,9155150.615,"SW corner"
"27","ALE-1070","North Archipelago",10,"Alert",10.1,20,512295.2488,9155944.638,"SW corner"
"28","ALE-1080","North Archipelago",10,"Alert",10.1,20,510480.8698,9154270.775,"SW corner"
"29","ALE-1090","North Archipelago",10,"Alert",10.1,20,509949.7868,9154733.982,"SW corner"
"30","ALE-1100","North Archipelago",10,"Alert",10.1,20,509627.1845,9155492.098,"SW corner"
"31","ALE-1110","North Archipelago",10,"Alert",10.1,20,508603.3256,9155758.244,"SW corner"
"32","ALE-1120","North Archipelago",10,"Alert",10.1,20,508300.0795,9156300.216,"SW corner"
"33","ALE-1130","North Archipelago",10,"Alert",10.1,20,507851.6624,9157219.633,"SW corner"
"34","ALE-1140","North Archipelago",10,"Alert",10.1,20,507675.1488,9158442.168,"SW corner"
"35","ALE-1150","North Archipelago",10,"Alert",10.1,20,509356.9839,9158121.891,"SW corner"
"36","ALE-1160","North Archipelago",10,"Alert",10.1,20,510325.4916,9158341.042,"SW corner"
"37","ALE-1170","North Archipelago",10,"Alert",10.1,20,510049.785,9159415.591,"SW corner"
"38","ALE-1330","North Archipelago",10,"Alert",10.1,20,505704.034,9160019.872,"SW corner"
"39","ALE-1370","North Archipelago",10,"Alert",10.1,20,505229.404,9159752.354,"SW corner"
"40","ALE-1440","North Archipelago",10,"Alert",10.1,20,503437.6669,9156623.963,"SW corner"
"41","ALE-1460","North Archipelago",10,"Alert",10.1,20,501897.606,9156910.837,"SW corner"
"42","ALE-1470","North Archipelago",10,"Alert",10.1,20,501391.8017,9157182.612,"SW corner"
"43","ALE-1471","North Archipelago",10,"Alert",10.1,20,501950.4512,9157303.402,"SW corner"
"44","ALE-1550","North Archipelago",10,"Alert",10.1,20,501874.9581,9154744.183,"SW corner"
"45","ALE-1590","North Archipelago",10,"Alert",10.1,20,499271.8014,9155799.836,"SW corner"
"46","ALE-1650","North Archipelago",10,"Alert",10.1,20,509307.4981,9157747.212,"SW corner"
"47","ALE-1660","North Archipelago",10,"Alert",10.1,20,508309.7576,9157342.222,"SW corner"
"48","ALE-1670","North Archipelago",10,"Alert",10.1,20,510000.2992,9162568.543,"SW corner"
"49","ALE-1690","North Archipelago",10,"Alert",10.1,20,508929.1539,9156758.311,"SW corner"
"50","ALE-1700","North Archipelago",10,"Alert",10.1,20,506490.2809,9157403.516,"SW corner"
"51","ALE-1822","North Archipelago",10,"Alert",10.1,20,510396.1856,9159465.076,"SW corner"
"52","ALE-2324","North Archipelago",10,"Alert",10.1,20,511774.7185,9160504.278,"SW corner"
"53","ALE-2529","North Archipelago",10,"Alert",10.1,20,510106.3402,9163833.965,"SW corner"
"54","ALE-3061","North Archipelago",10,"Alert",10.1,20,509470.0943,9160949.65,"SW corner"
"55","ALE-3436","North Archipelago",10,"Alert",10.1,20,504582.1811,9162004.689,"SW corner"
"56","ALE-3840","North Archipelago",10,"Alert",10.1,20,505229.404,9158587.352,"SW corner"
"57","ALE-4568","North Archipelago",10,"Alert",10.1,20,501754.169,9156193.652,"SW corner"
"58","ALE-4951","North Archipelago",10,"Alert",10.1,20,500508.5315,9156857.992,"SW corner"
"59","ALE-5354","North Archipelago",10,"Alert",10.1,20,502124.0856,9155182.043,"SW corner"
"60","ALE-6364","North Archipelago",10,"Alert",10.1,20,510968.8069,9160143.739,"SW corner"
"61","ALE-7010","North Archipelago",10,"Alert",10.1,20,510420,9158890,"SW corner"
"62","ALE-7020","North Archipelago",10,"Alert",10.1,20,509560,9158100,"SW corner"
"63","ALE-7030","North Archipelago",10,"Alert",10.1,20,505975,9158070,"SW corner"
"64","ALE-7040","North Archipelago",10,"Alert",10.1,20,505240,9158140,"SW corner"
"65","ALE-7050","North Archipelago",10,"Alert",10.1,20,505175,9158800,"SW corner"
"66","ALE-7060","North Archipelago",10,"Alert",10.1,20,509175,9162185,"SW corner"
"67","ALE-7070","North Archipelago",10,"Alert",10.1,20,507650,9157325,"SW corner"
"68","ALE-7080","North Archipelago",10,"Alert",10.1,20,506350,9156600,"SW corner"
"69","ALE-7090","North Archipelago",10,"Alert",10.1,20,510200,9163200,"SW corner"
"70","ALE-7100","North Archipelago",10,"Alert",10.1,20,501677,9156458,"SW corner"
"71","ALE-7101","North Archipelago",10,"Alert",10.1,20,508100,9157650,"SW corner"
"72","ALE-7110","North Archipelago",10,"Alert",10.1,20,507338,9158550,"SW corner"
"73","ALE-7130","North Archipelago",10,"Alert",10.1,20,511006,9159432,"SW corner"
"74","ALE-7140","North Archipelago",10,"Alert",10.1,20,510360,9160500,"SW corner"
"75","ALE-7150","North Archipelago",10,"Alert",10.1,20,501580,9155450,"SW corner"
"76","ALE-7160","North Archipelago",10,"Alert",10.1,20,501125,9154600,"SW corner"
"77","AMA-001","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,623000,7218200,"SW corner"
"78","AMA-002","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,623600,7217800,"SW corner"
"79","AMA-003","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,622600,7217200,"SW corner"
"80","AMA-004","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,624600,7217000,"SW corner"
"81","AMA-005","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,625000,7217600,"SW corner"
"82","AMA-006","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,623600,7216000,"SW corner"
"83","AMA-007","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,624600,7216400,"SW corner"
"84","AMA-008","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,624600,7215600,"SW corner"
"85","AMA-009","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,625600,7215000,"SW corner"
"86","AMA-010","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,626200,7215000,"SW corner"
"87","AMA-011","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,624500,7214000,"SW corner"
"88","AMA-012","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,625000,7214000,"SW corner"
"89","AMA-013","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,626200,7214400,"SW corner"
"90","AMA-014","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,624600,7213300,"SW corner"
"91","AMA-015","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,625200,7213000,"SW corner"
"92","AMA-016","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,626100,7213000,"SW corner"
"93","AMA-017","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,627000,7213600,"SW corner"
"94","AMA-018","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,624600,7212800,"SW corner"
"95","AMA-019","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,625600,7212600,"SW corner"
"96","AMA-020","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,626000,7212000,"SW corner"
"97","AMA-021","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,605500,7251900,"SW corner"
"98","AMA-022","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,606300,7252300,"SW corner"
"99","AMA-023","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,607900,7252300,"SW corner"
"100","AMA-024","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,605500,7253100,"SW corner"
"101","AMA-025","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,607500,7253100,"SW corner"
"102","AMA-026","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,608700,7252300,"SW corner"
"103","AMA-027","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,611500,7253100,"SW corner"
"104","AMA-028","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,609100,7253500,"SW corner"
"105","AMA-029","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,609100,7254300,"SW corner"
"106","AMA-030","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,610700,7251500,"SW corner"
"107","AMA-031","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,609900,7254700,"SW corner"
"108","AMA-032","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,603900,7255500,"SW corner"
"109","AMA-033","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,609500,7255900,"SW corner"
"110","AMA-034","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,603500,7256300,"SW corner"
"111","AMA-035","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,610300,7256300,"SW corner"
"112","AMA-036","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,611500,7256300,"SW corner"
"113","AMA-037","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,611900,7251500,"SW corner"
"114","AMA-038","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,605500,7257100,"SW corner"
"115","AMA-039","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,606700,7257900,"SW corner"
"116","AMA-040","Southwest Hudson Barrens",6,"Amaruq & Meadowbank Mine Project",6.1,14,605500,7258300,"SW corner"
"117","ARC-0001","North Archipelago",10,"North Archipelago - rest",10.2,15,441445,8294363,"start"
"118","ARC-0002","North Archipelago",10,"North Archipelago - rest",10.2,15,441445,8294363,"start"
"119","ARCH-0047C","North Archipelago",10,"North Archipelago - rest",10.2,15,478675,9004711,"SW corner"
"120","ARCH-0048C","North Archipelago",10,"North Archipelago - rest",10.2,15,486260,9000718,"SW corner"
"121","ARCH-0061A","North Archipelago",10,"North Archipelago - rest",10.2,14,550119,8877709,"SW corner"
"122","ARCH-0061B","North Archipelago",10,"North Archipelago - rest",10.2,14,550379,8877723,"SW corner"
"123","ARCH-0061C","North Archipelago",10,"North Archipelago - rest",10.2,14,550141,8877250,"SW corner"
"124","ARCH-0061D","North Archipelago",10,"North Archipelago - rest",10.2,14,549643,8876763,"SW corner"
"125","ARCH-0062A","North Archipelago",10,"North Archipelago - rest",10.2,15,457625,8878679,"SW corner"
"126","ARCH-0062B","North Archipelago",10,"North Archipelago - rest",10.2,15,457603,8878220,"SW corner"
"127","ARCH-0062C","North Archipelago",10,"North Archipelago - rest",10.2,15,457061,8877788,"SW corner"
"128","ARCH-0062D","North Archipelago",10,"North Archipelago - rest",10.2,15,457321,8877774,"SW corner"
"129","ARCH-0063A","North Archipelago",10,"North Archipelago - rest",10.2,14,554661,8860035,"SW corner"
"130","ARCH-0063B","North Archipelago",10,"North Archipelago - rest",10.2,14,554923,8860049,"SW corner"
"131","ARCH-0063C","North Archipelago",10,"North Archipelago - rest",10.2,14,555208,8859606,"SW corner"
